SPI1,SPI3,SPI6,SPI12
-1.077256602,-0.322218079,-0.557570274,-1.21700527
-1.448664011,0.009097254,-0.484964368,-1.216613341
-0.654784183,-1.70936328,-0.448294413,-1.237293564
-1.317354741,-1.714472688,-1.130590883,-1.119658925
-0.237247197,-1.092098462,-1.005778856,-0.887072977
0.952348062,-0.045425874,-0.623832778,-0.638852159
-0.476950338,0.13128547,-0.670745266,-0.833473852
1.176263233,0.957295597,0.209785749,-0.233399985
-0.56096481,0.240615777,0.062519369,-0.283311327
0.10230314,0.463138812,0.374478873,-0.323359357
-0.576921205,-0.716052302,0.28474414,-0.339204233
1.004930059,0.154769287,0.227014146,-0.227578975
-0.92013137,-0.082784217,0.254433427,-0.215056318
-0.840919822,0.3073719,-0.446380968,-0.18973077
-1.900324653,-2.081876455,-0.39905732,-0.255998718
0.146635238,-0.687274684,-0.483298822,-0.003539312
-0.620756776,-0.821626726,-0.582176462,-0.087514253
0.495476616,-0.096929654,-0.75911954,-0.254302629
0.196755657,-0.077359251,-0.484357381,-0.098103327
0.316076455,0.363998303,-0.242119452,-0.54400963
0.74065158,0.483533589,0.226517505,-0.118143324
1.1025641,0.939556876,0.649035818,0.225870684
-0.88175878,0.537307128,0.590909935,0.166919518
0.428527929,0.32939476,0.533541663,-0.015424648
0.700432516,-0.163307603,0.609214451,0.198531662
0.422526532,0.60794824,0.64879244,0.263716647
-0.593984219,0.217214799,0.313424704,0.33044567
0.159551972,-0.096651531,-0.258281458,0.329385712
0.880567099,0.486824839,0.696470148,0.729150705
0.63203005,0.834159055,0.809929083,0.796630043
-0.535453846,0.549584432,0.387138905,0.634403128
0.781344318,0.459190397,0.614370202,0.846347433
1.240327337,0.762147174,1.035090865,0.975762165
-0.8377762,0.656709196,0.80194216,0.468843176
-1.413610111,-0.373238406,0.065662945,0.40687604
-0.54326853,-1.547742859,-0.325779235,0.158661347
-0.251612793,-1.459167661,-0.21065089,0.00743549
1.745335952,-0.130654389,-0.402165788,0.141052924
-0.851380704,0.077383311,-1.285113395,0.119474115
-0.99369067,-0.484230876,-1.484029461,-0.095558877
0.21336283,-0.623382417,-0.727343556,-0.320046464
0.239563053,-0.255968553,-0.274582327,-0.454110798
0.482327033,0.338349636,0.008177617,-0.198812279
0.727265708,0.612563308,0.099431076,-0.261028758
0.422317615,0.696386342,0.309120313,-0.535718854
-0.743360545,0.205592479,0.303562882,-0.546391817
-0.248407218,-0.440124579,0.151328683,-0.326117763
0.338762387,-0.478277643,0.192550758,-0.066245046
1.255421945,0.356245868,0.294412874,0.196429559
-1.23189327,0.619667926,-0.081270279,-0.026052542
-1.32833732,0.121273979,-0.408409236,-0.054092983
-1.323293668,-1.967501453,-0.566034706,-0.101646119
0.112893745,-0.923802467,-0.426019871,-0.122299446
1.28394474,0.418927805,0.377472889,0.298627496
-0.56887555,0.557847434,-0.300946151,0.027540375
-0.031654329,0.394278748,-0.265455488,-0.303355114
0.084839419,-0.364628863,-0.080409854,-0.376750789
0.224655494,-0.023534805,0.278563479,-0.128983943
0.572119347,0.331834803,0.472945584,0.135224401
-0.682635986,0.050208098,-0.29919045,-0.099301758
2.204748838,0.887602119,0.449569951,0.156774548
0.119906597,0.842600811,0.604128144,0.214923311
1.301433757,2.249007839,0.867664467,0.474349792
-0.410592105,0.212106597,0.776167523,0.600566726
-0.051758761,0.029679568,0.466439292,0.531476155
0.340522632,-0.152254205,0.832840847,0.190976106
0.718432174,0.396990086,0.393701477,0.514029999
1.259384683,1.142237691,0.952748658,1.058643938
-4.221098815,0.223065117,-0.018454595,0.511676959
0.1472561,-0.064668384,0.13556202,0.512332754
1.083983435,-0.394953037,0.627577887,0.768354845
1.549383689,1.29024267,1.040518314,1.31843677
-0.189085539,1.463687075,0.800668428,0.845242758
1.143839844,1.396244684,0.38253427,0.90236312
1.292280596,0.877234857,1.356626735,0.878819835
-0.36902107,0.507641243,1.412293167,0.881281194
-1.260429514,-0.61571867,0.393664822,0.611916534
0.161918567,-0.842222447,-0.437016332,0.576505897
1.08768885,0.018997261,0.208008696,0.692472879
-0.692326201,0.129243148,-0.352246757,-0.021847484
1.601473336,0.924620405,0.187569989,1.012297329
2.706455394,1.926965192,1.592402051,2.027088687
-0.404481389,2.305849404,1.761991853,1.782208684
-0.242130471,1.393063893,1.611398147,1.165500489
0.31577744,-0.465711488,1.342368715,1.217952179
0.06087273,-0.195379823,1.808462294,1.106349585
-0.205960768,-0.052578449,1.191995364,0.908736991
-0.19724653,-0.352763495,-0.639290183,0.934004117
0.758600194,0.29687908,0.046551431,1.335503332
-1.04686355,-0.324950603,-0.389163306,1.084802279
-0.248905788,-0.404378917,-0.63544364,0.738085288
-0.334976846,-1.092237245,-0.779882914,0.862818766
-0.240844917,-0.561208922,-0.738337183,0.2378804
0.454278726,-0.210438085,-0.518748696,-0.828178917
0.495112581,0.257593,-0.632478926,-0.601248081
1.574947092,1.129976545,0.404426772,0.06107934
1.164523568,1.487821092,0.721414339,0.220089128
1.338750176,1.969256524,1.157740914,0.323076994
-0.37646666,1.030945634,1.265591603,0.300770978
-0.106612752,0.062951551,1.237437024,0.314643136
0.040717875,-0.260842192,1.089538029,0.076307355
-0.501825706,-0.525485455,-0.095860211,0.21653186
-0.006721727,-0.513498199,-0.51429355,0.268546943
-0.73565538,-0.903636694,-1.038829203,0.159019249
0.498926725,-0.25328595,-0.632473643,0.366829929
0.107431939,-0.210781808,-0.590106854,0.274268449
-0.311373075,0.01008741,-0.697284111,0.02256338
0.034342638,-0.231463583,-0.416621572,-0.492186259
-0.366396505,-0.475827037,-0.499585089,-0.769353931
-0.001815744,-0.307227712,-0.174890229,-0.876521887
0.266816922,-0.284768216,-0.331679915,-0.781181716
-0.313376613,-0.263859522,-0.600059214,-0.829049217
0.18446125,-0.096336675,-0.378692991,-0.737115636
1.501651699,0.902166724,0.71678384,0.037397461
-0.42191683,0.84059956,0.592756339,-0.074287314
0.553578463,0.929188674,0.68367628,0.330665545
0.829150566,0.433567054,0.832301988,0.430310684
-0.044436126,0.570498094,0.926511978,0.406110808
-0.421201254,0.087878219,0.737624007,0.41071768
-0.679704446,-0.67362542,-0.147727238,0.242011744
-0.514836554,-1.0059249,-0.100436264,0.221408337
2.327587732,-0.044541666,0.000332842,0.452304223
-1.373007214,0.164678842,-0.554776455,0.313112158
1.341117638,1.371500529,0.054999733,0.709043912
0.898737839,1.029893487,0.823911743,0.898566356
-1.303689875,0.450008262,0.422559643,0.064935807
-2.267107436,-1.206432312,-0.234980843,-0.24739332
-0.701264131,-2.369491802,-0.99087286,-0.74230884
-0.172101945,-1.466222642,-0.770494191,-1.024424344
0.988129302,-0.022892322,-0.858069036,-0.690688318
0.599223839,0.678467124,-1.001769778,-0.40529798
-2.43680188,0.170616169,-0.937892168,-0.585796295
1.165715677,-0.0617713,-0.121688766,-0.29283173
-0.483631103,-0.828177266,0.18820971,-0.571222499
0.216665985,0.717258722,0.344570013,-0.419017099
0.978547572,0.682592619,0.255590202,-0.541432795
0.254817548,0.616385039,0.028591846,-0.750616299
-0.783536596,0.018044951,0.236656135,-0.623477636
1.277043587,0.314300453,0.56854493,0.18224416
2.152099891,1.663698411,1.768097382,1.401391273
1.651194768,2.500512052,2.060482882,1.856890984
1.440201477,2.647000726,2.422210117,2.106756173
0.349178904,1.78879225,2.431057783,2.251591743
0.617180104,1.121557143,2.681752718,2.515814286
2.020423015,1.205637398,2.720951988,2.663579389
1.857248805,1.848711707,2.201073796,2.749240142
-0.274628589,1.993444707,1.595283577,2.641937806
-0.035610346,0.351771282,1.116141843,2.441282939
